,LineId,Time,Level,Content,EventId,EventTemplate
65,66,Sun Dec 04 04:56:59 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
66,67,Sun Dec 04 04:57:00 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
67,68,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8536 in scoreboard slot 6,34b9276b87d340c6a09ce536763c69b5,k2_init() Found <*>36 in scoreboard <*>
68,69,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8539 in scoreboard slot 7,15cee8aaf032b89d1d1c0a48db2c7442,k2_init() Found <*>39 in scoreboard <*>
69,70,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
70,71,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
71,72,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
72,73,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
73,74,Sun Dec 04 04:57:49 2005,notice,jk2_init() Found child 8541 in scoreboard slot 9,b820d150650af08633caf0590d2f49f2,k2_init() Found <*>41 in scoreboard <*>
74,75,Sun Dec 04 04:58:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
75,76,Sun Dec 04 04:58:18 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
76,77,Sun Dec 04 04:58:45 2005,notice,jk2_init() Found child 8547 in scoreboard slot 10,7ae504526de8302aa1e2491b6b90ff24,k2_init() Found <*>47 in scoreboard <*>
77,78,Sun Dec 04 04:58:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
78,79,Sun Dec 04 04:58:58 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
79,80,Sun Dec 04 04:59:28 2005,notice,jk2_init() Found child 8554 in scoreboard slot 6,ce52dd33fa0c49227f95bb4599ed6f01,k2_init() Found <*>554 in scoreboard <*>
80,81,Sun Dec 04 04:59:27 2005,notice,jk2_init() Found child 8553 in scoreboard slot 8,f12411e2a78879e4f4daf67a50240606,k2_init() Found <*>553 in scoreboard <*>
81,82,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
82,83,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
83,84,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
84,85,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
85,86,Sun Dec 04 05:00:03 2005,notice,jk2_init() Found child 8560 in scoreboard slot 7,3d1e3c46cf58682e24fbc5f38b8bab67,k2_init() Found <*>60 in scoreboard <*>
86,87,Sun Dec 04 05:00:09 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
87,88,Sun Dec 04 05:00:09 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
88,89,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8565 in scoreboard slot 9,85359840cc41347a3678355507b917f1,k2_init() Found <*>65 in scoreboard <*>
89,90,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8573 in scoreboard slot 10,aebd10a580ac28f69927ede70155066a,k2_init() Found <*>573 in scoreboard <*>
90,91,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
91,92,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
92,93,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
93,94,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
94,95,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8584 in scoreboard slot 7,261dd03e12703d33484e5216b8edaa32,k2_init() Found <*>584 in scoreboard <*>
95,96,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8587 in scoreboard slot 9,1b70d68aeeae08a7b1a8d7a811312e68,k2_init() Found <*>587 in scoreboard <*>
96,97,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8603 in scoreboard slot 10,a98ede2842216fabd140e3c9c9228d5c,k2_init() Found <*>603 in scoreboard <*>
97,98,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8605 in scoreboard slot 8,927cae03857150f824d30bb4aae4b43e,k2_init() Found <*>605 in scoreboard <*>
98,99,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8764 in scoreboard slot 10,478058f40eaa53c0113fd0b885665efe,k2_init() Found <*>64 in scoreboard <*>
99,100,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8765 in scoreboard slot 11,85359840cc41347a3678355507b917f1,k2_init() Found <*>65 in scoreboard <*>
100,101,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8763 in scoreboard slot 9,6642db9b11fa26efcad267634ffcfff9,k2_init() Found <*>763 in scoreboard <*>
101,102,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8744 in scoreboard slot 8,771b4903a8c56d461107a57572f58030,k2_init() Found <*>44 in scoreboard <*>
102,103,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8743 in scoreboard slot 7,22c0a4607c964fbe7aac92e7b2dc2898,k2_init() Found <*>43 in scoreboard <*>
103,104,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8738 in scoreboard slot 6,dc57503777f6233b0b8f4b372f15ff40,k2_init() Found <*>38 in scoreboard <*>
104,105,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8766 in scoreboard slot 12,48133bebec54faf39138b85246197ba6,k2_init() Found <*>66 in scoreboard <*>
105,106,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
106,107,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
107,108,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
108,109,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
109,110,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
110,111,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
111,112,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
112,113,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
113,114,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
114,115,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
115,116,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
116,117,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
117,118,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
118,119,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
119,120,Sun Dec 04 05:11:51 2005,notice,jk2_init() Found child 25792 in scoreboard slot 6,eb25f81864aac0f50c42dc3538bc2ee2,k2_init() Found <*>792 in scoreboard <*>
120,121,Sun Dec 04 05:12:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
121,122,Sun Dec 04 05:12:10 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
122,123,Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25798 in scoreboard slot 7,4e86799aa9624fc4316c2e084d418464,k2_init() Found <*>798 in scoreboard <*>
123,124,Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25803 in scoreboard slot 8,d614416a673e1592ea66c79ad62dcdc6,k2_init() Found <*>803 in scoreboard <*>
124,125,Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
125,126,Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
126,127,Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
127,128,Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
128,129,Sun Dec 04 05:12:30 2005,notice,jk2_init() Found child 25805 in scoreboard slot 9,930defda240e9c09fcb12705ba396c60,k2_init() Found <*>805 in scoreboard <*>
129,130,Sun Dec 04 05:12:30 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
130,131,Sun Dec 04 05:12:30 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
131,132,Sun Dec 04 05:15:09 2005,error,[client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,3e08946d9bb3bed18cda6037c4efc2bb,<*>184] Directory index forbidden by rule<*>
132,133,Sun Dec 04 05:15:13 2005,notice,jk2_init() Found child 1000 in scoreboard slot 10,3e9c94f44ff32252d717544b2256666b,k2_init() Found <*> in scoreboard <*>
133,134,Sun Dec 04 05:15:16 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
134,135,Sun Dec 04 05:15:16 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
135,136,Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32347 in scoreboard slot 6,7ae504526de8302aa1e2491b6b90ff24,k2_init() Found <*>47 in scoreboard <*>
136,137,Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32348 in scoreboard slot 7,19d2b6a91c0527f38364cbba9b5a9baa,k2_init() Found <*>48 in scoreboard <*>
137,138,Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
138,139,Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
139,140,Sun Dec 04 06:01:30 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
140,141,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32352 in scoreboard slot 9,c5f6b3e17ec16fabeb80ec7c7b46ebb2,k2_init() Found <*>52 in scoreboard <*>
141,142,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32353 in scoreboard slot 10,5212bd679119a5e9462dc148e438421f,k2_init() Found <*>53 in scoreboard <*>
142,143,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32354 in scoreboard slot 6,f4c618b225be52c991a0ba9eee62c3eb,k2_init() Found <*>54 in scoreboard <*>
143,144,Sun Dec 04 06:02:01 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
144,145,Sun Dec 04 06:02:02 2005,error,mod_jk child workerEnv in error state 7,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
145,146,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32359 in scoreboard slot 9,964a46241d2225a35744b82c31f5be73,k2_init() Found <*>59 in scoreboard <*>
146,147,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32360 in scoreboard slot 11,3d1e3c46cf58682e24fbc5f38b8bab67,k2_init() Found <*>60 in scoreboard <*>
147,148,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32358 in scoreboard slot 8,9382b0d3b74cd1004bbed1a9382e4120,k2_init() Found <*>58 in scoreboard <*>
148,149,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32355 in scoreboard slot 7,d14456ecb968393f7c78802cf6f573ef,k2_init() Found <*>55 in scoreboard <*>
149,150,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
150,151,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 7,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
151,152,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
152,153,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
153,154,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
154,155,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
155,156,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
156,157,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
157,158,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32388 in scoreboard slot 8,25692ae4972d9e727dc3c5b08796125c,k2_init() Found <*>88 in scoreboard <*>
158,159,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32387 in scoreboard slot 7,531dcc9c1b74dc6af2f0c3d26fe2daf6,k2_init() Found <*>87 in scoreboard <*>
159,160,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32386 in scoreboard slot 6,aec18077553475e48a422efb5725bc60,k2_init() Found <*>86 in scoreboard <*>
160,161,Sun Dec 04 06:06:10 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
161,162,Sun Dec 04 06:06:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,985e90836552295eb4ea9a12fa004429,Env.init() <*>
162,163,Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
163,164,Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,aa6d09039363bb96abea03e848907aed,_jk child workerEnv in error <*>
164,165,Sun Dec 04 06:06:20 2005,notice,jk2_init() Found child 32389 in scoreboard slot 9,179f9061897dc976ce8daeac3ddca03f,k2_init() Found <*>89 in scoreboard <*>
165,166,Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32391 in scoreboard slot 10,4ba61b74943138816480cb7cb593580f,k2_init() Found <*>91 in scoreboard <*>
